Arquivo,Tamanho (KB),Data Modificação
TG039_39009_66975_01540_039_20260226000017_91.13.BIN,30.01,25/02/2026 23:59
TG039_39074_66815_01764_039_20260226002355_91.13.BIN,38.42,26/02/2026 00:23
TG037_37512_67116_01071_037_20260226131759_91.13.BIN,47.14,26/02/2026 21:16
TG037_37512_67116_01072_037_20260226211659_91.13.BIN,18.46,26/02/2026 21:16
TG039_37523_67198_01378_039_20260226204719_91.13.BIN,13.92,26/02/2026 20:47
TG039_39009_66975_01541_039_20260226063834_91.13.BIN,12.66,26/02/2026 23:55
TG039_39009_66975_01542_039_20260226140057_91.13.BIN,35.96,26/02/2026 23:55
TG039_39009_66975_01543_039_20260226235509_91.13.BIN,29.50,26/02/2026 23:55
TG039_39011_67653_00521_039_20260226232739_91.13.BIN,15.06,26/02/2026 23:27
TG039_39016_67791_01163_039_20260226212350_91.13.BIN,7.05,26/02/2026 21:24
TG039_39026_67722_01169_039_20260226193506_91.13.BIN,42.96,26/02/2026 19:59
TG039_39031_66664_01274_039_20260226131325_91.13.BIN,41.12,26/02/2026 20:56
TG039_39031_66664_01275_039_20260226205547_91.13.BIN,29.93,26/02/2026 20:56
TG039_39038_67350_00607_039_20260226193331_91.13.BIN,60.02,26/02/2026 19:45
TG039_39046_67234_01441_039_20260226135507_91.13.BIN,9.33,26/02/2026 21:10
TG039_39046_67234_01442_039_20260226211031_91.13.BIN,22.74,26/02/2026 21:10
TG039_39059_67424_01015_039_20260226101928_91.13.BIN,22.42,26/02/2026 10:19
TG039_39059_67424_01016_039_20260226180803_91.13.BIN,17.36,26/02/2026 18:07
TG039_39070_67623_01593_039_20260226132711_91.13.BIN,45.06,26/02/2026 21:17
TG039_39070_67623_01594_039_20260226211725_91.13.BIN,39.29,26/02/2026 21:17
TG039_39074_66815_01765_039_20260226062027_91.13.BIN,10.27,26/02/2026 22:52
TG039_39074_66815_01766_039_20260226155537_91.13.BIN,42.99,26/02/2026 22:52
TG039_39074_66815_01767_039_20260226225139_91.13.BIN,33.32,26/02/2026 22:52
TG039_39075_67410_01775_039_20260226195925_91.13.BIN,67.30,26/02/2026 19:58
TG039_39105_67701_01072_039_20260226192857_91.13.BIN,62.39,26/02/2026 19:35
TG039_39119_67716_01158_039_20260226192526_91.13.BIN,45.82,26/02/2026 19:25
TG039_39128_67311_00469_039_20260226192820_91.13.BIN,52.00,26/02/2026 19:27
TG039_39129_67687_00669_039_20260226195857_91.13.BIN,75.72,26/02/2026 20:10
TG039_39135_66580_01507_039_20260226104500_91.13.BIN,20.92,26/02/2026 10:44
TG039_39135_66580_01508_039_20260226182055_91.13.BIN,22.82,26/02/2026 18:20
TG039_39140_67429_01321_039_20260226190858_91.13.BIN,54.39,26/02/2026 19:08
TG039_39141_66714_01850_039_20260226123802_91.13.BIN,41.46,26/02/2026 21:00
TG039_39141_66714_01851_039_20260226210004_91.13.BIN,41.19,26/02/2026 21:00
TG039_39142_67702_01602_039_20260226100417_91.13.BIN,23.23,26/02/2026 10:05
TG039_39142_67702_01603_039_20260226174918_91.13.BIN,19.39,26/02/2026 17:48
TG039_39502_66550_02358_039_20260226184358_91.13.BIN,23.72,26/02/2026 18:44
TG039_39509_66193_01822_039_20260226130557_91.13.BIN,24.29,26/02/2026 22:25
TG039_39509_66193_01823_039_20260226222511_91.13.BIN,22.78,26/02/2026 22:25
TG039_39512_66924_01244_039_20260226220053_91.13.BIN,43.11,26/02/2026 22:02
TG039_39516_66747_00689_039_20260226131628_91.13.BIN,40.16,26/02/2026 20:11
TG039_39516_66747_00690_039_20260226201213_91.13.BIN,25.90,26/02/2026 20:11
TG039_39531_67442_01381_039_20260226051843_91.13.BIN,3.17,26/02/2026 21:54
TG039_39531_67442_01382_039_20260226142857_91.13.BIN,57.24,26/02/2026 21:54
TG039_39531_67442_01383_039_20260226215355_91.13.BIN,20.33,26/02/2026 21:54
TG039_39534_66943_01466_039_20260226100326_91.13.BIN,18.58,26/02/2026 10:04
TG039_39534_66943_01467_039_20260226195253_91.13.BIN,27.55,26/02/2026 19:54
TG039_39536_66234_01353_039_20260226102646_91.13.BIN,27.66,26/02/2026 10:27
TG039_39536_66234_01354_039_20260226184905_91.13.BIN,19.44,26/02/2026 18:50
TG039_39539_67466_01152_039_20260226115349_91.13.BIN,38.27,26/02/2026 22:37
TG039_39539_67466_01153_039_20260226223725_91.13.BIN,41.96,26/02/2026 22:37
TG039_39540_68261_00903_039_20260226122936_91.13.BIN,33.80,26/02/2026 22:56
TG039_39540_68261_00904_039_20260226225617_91.13.BIN,30.06,26/02/2026 22:56
TG039_39541_67956_01457_039_20260226123857_91.13.BIN,13.43,26/02/2026 23:13
TG039_39541_67956_01458_039_20260226231322_91.13.BIN,39.79,26/02/2026 23:14
TG039_39542_66581_01404_039_20260226192608_91.13.BIN,23.32,26/02/2026 19:26
